"image_path","num_gt_objects","raw_f1","pe_f1","ft_f1","raw_precision","pe_precision","ft_precision","raw_recall","pe_recall","ft_recall"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.75","0.64","0.67","1","1","0.75","0.6","0.47","0.6"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.8","1","1","0.77","0.67","0.25","0.83"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.96","0.73","0.8","1","1","0.91","0.93","0.57","0.71"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.52","0.88","0.67","0.55","0.58","0.17","0.5"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.7","1","1","0.88","0.5","0.42","0.58"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.62","0.8","0.71","0.73","0.8","1","0.53","0.8"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.82","0.88","1","0.82","0.64","0.73","0.82"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.72","0.91","0","0.9","0.67","0","0.6"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.8","1","1","0.8","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.76","0.8","1","0.79","0.8","0.47","0.73"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.71","0.89","0.33","0.77","0.53","0.07","0.67"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.69","0.85","0.67","0.71","0.73","0.13","0.67"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.65","0.79","1","0.62","0.73","0.2","0.67"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.55","0","0.67","0.5","0","0.61","0.6","0","0.73"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.65","0.56","0.67","0.58","0.67","0.13","0.73"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.69","0.7","0.83","0.71","1","0.86","0.67","0.53","0.8"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.5","0.64","0.54","0.67","1","0.64","0.4","0.47","0.47"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.87","1","1","0.91","0.67","0.25","0.83"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.96","0.73","0.81","1","1","0.85","0.93","0.57","0.79"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.64","0.88","0.67","0.7","0.58","0.17","0.58"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.53","1","1","0.71","0.5","0.42","0.42"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.69","0.91","0.71","0.82","0.83","1","0.6","1"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.76","0.88","1","0.8","0.64","0.73","0.73"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.77","0.91","0","0.91","0.67","0","0.67"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.84","1","1","0.89","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.83","0.8","1","0.86","0.8","0.47","0.8"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.67","0.89","0.33","0.67","0.53","0.07","0.67"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.77","0.85","0.67","0.75","0.73","0.13","0.8"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.65","0.79","1","0.58","0.73","0.2","0.73"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.48","0","0.57","0.44","0","0.5","0.53","0","0.67"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.62","0.56","0.67","0.59","0.67","0.13","0.67"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.69","0.7","0.71","0.71","1","0.77","0.67","0.53","0.67"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.58","0.64","0.69","0.78","1","0.82","0.47","0.47","0.6"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.77","1","1","0.71","0.67","0.25","0.83"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.96","0.73","0.74","1","1","0.77","0.93","0.57","0.71"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.48","0.88","0.67","0.38","0.58","0.17","0.67"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.7","1","1","0.88","0.5","0.42","0.58"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.62","0.7","0.71","0.73","0.56","1","0.53","0.93"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.8","0.88","1","0.71","0.64","0.73","0.91"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.74","0.91","0","0.83","0.67","0","0.67"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.8","1","1","0.8","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.73","0.8","1","0.67","0.8","0.47","0.8"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.77","0.89","0.33","0.75","0.53","0.07","0.8"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.63","0.85","0.67","0.55","0.73","0.13","0.73"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.51","0.79","1","0.42","0.73","0.2","0.67"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.55","0","0.6","0.5","0","0.48","0.6","0","0.8"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.71","0.56","0.67","0.63","0.67","0.13","0.8"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.76","0.7","0.72","0.79","1","0.62","0.73","0.53","0.87"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.58","0.64","0.5","0.78","1","0.54","0.47","0.47","0.47"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.81","1","1","0.73","0.67","0.25","0.92"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.89","0.73","0.77","0.92","1","0.71","0.86","0.57","0.86"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.55","0.88","0.67","0.47","0.58","0.17","0.67"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.63","1","1","0.86","0.5","0.42","0.5"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.62","0.76","0.71","0.73","0.64","1","0.53","0.93"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.8","0.88","1","0.71","0.64","0.73","0.91"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.74","0.91","0","0.83","0.67","0","0.67"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.8","1","1","0.8","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.73","0.8","1","0.73","0.8","0.47","0.73"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.77","0.89","0.33","0.75","0.53","0.07","0.8"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.71","0.85","0.67","0.69","0.73","0.13","0.73"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.62","0.79","1","0.5","0.73","0.2","0.8"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.48","0","0.56","0.44","0","0.46","0.53","0","0.73"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.79","0.56","0.67","0.72","0.67","0.13","0.87"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.69","0.7","0.76","0.71","1","0.79","0.67","0.53","0.73"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.58","0.64","0.57","0.78","1","0.62","0.47","0.47","0.53"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.85","1","1","0.79","0.67","0.25","0.92"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.89","0.73","0.77","0.92","1","0.71","0.86","0.57","0.86"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.6","0.27","0.57","0.75","0.67","0.5","0.5","0.17","0.67"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.63","1","1","0.86","0.5","0.42","0.5"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.69","0.76","0.71","0.82","0.68","1","0.6","0.87"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.78","0.88","1","0.75","0.64","0.73","0.82"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.72","0.91","0","0.9","0.67","0","0.6"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.76","1","1","0.73","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.69","0.8","1","0.71","0.8","0.47","0.67"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.69","0.89","0.33","0.71","0.53","0.07","0.67"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.65","0.85","0.67","0.62","0.73","0.13","0.67"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.62","0.79","1","0.59","0.73","0.2","0.67"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.55","0","0.62","0.5","0","0.59","0.6","0","0.67"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.75","0.56","0.67","0.71","0.67","0.13","0.8"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.76","0.7","0.8","0.79","1","0.8","0.73","0.53","0.8"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.58","0.64","0.46","0.78","1","0.55","0.47","0.47","0.4"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.76","1","1","0.89","0.67","0.25","0.67"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.96","0.73","0.81","1","1","0.85","0.93","0.57","0.79"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.67","0.88","0.67","0.6","0.58","0.17","0.75"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.7","1","1","0.88","0.5","0.42","0.58"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.69","0.7","0.71","0.82","0.56","1","0.6","0.93"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.83","0.88","1","0.77","0.64","0.73","0.91"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.81","0.91","0","0.92","0.67","0","0.73"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.84","1","1","0.89","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.74","0.8","1","0.65","0.8","0.47","0.87"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.65","0.89","0.33","0.62","0.53","0.07","0.67"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.58","0.85","0.67","0.56","0.73","0.13","0.6"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.67","0.79","1","0.54","0.73","0.2","0.87"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.55","0","0.56","0.5","0","0.46","0.6","0","0.73"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.79","0.56","0.67","0.72","0.67","0.13","0.87"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.76","0.7","0.7","0.79","1","0.56","0.73","0.53","0.93"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.58","0.64","0.81","0.78","1","0.92","0.47","0.47","0.73"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.81","1","1","0.73","0.67","0.25","0.92"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.96","0.73","0.79","1","1","0.79","0.93","0.57","0.79"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.52","0.88","0.67","0.47","0.58","0.17","0.58"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.63","1","1","0.86","0.5","0.42","0.5"
"pexels_sg_home_interior_pipeline/images/b1663a97652800d2.jpg","15","0.83","0.69","0.87","0.71","0.82","0.87","1","0.6","0.87"
"pexels_sg_home_interior_pipeline/images/76c774384394729f.jpg","11","0.74","0.84","0.76","0.88","1","0.8","0.64","0.73","0.73"
"pexels_sg_home_interior_pipeline/images/a27c05926560446d.jpg","15","0.77","0","0.73","0.91","0","0.73","0.67","0","0.73"
"pexels_sg_home_interior_pipeline/images/1619cd00da8b5352.jpg","10","0.89","0.82","0.84","1","1","0.89","0.8","0.7","0.8"
"pexels_sg_home_interior_pipeline/images/988269d432f5439b.jpg","15","0.8","0.64","0.55","0.8","1","0.5","0.8","0.47","0.6"
"pexels_sg_home_interior_pipeline/images/0017a41ef2f46eda.jpg","15","0.67","0.11","0.74","0.89","0.33","0.83","0.53","0.07","0.67"
"pexels_sg_home_interior_pipeline/images/b91fd7805ba30f2e.jpg","15","0.79","0.22","0.62","0.85","0.67","0.59","0.73","0.13","0.67"
"pexels_sg_home_interior_pipeline/images/4c7dac24b88b24ac.jpg","15","0.76","0.33","0.67","0.79","1","0.57","0.73","0.2","0.8"
"pexels_sg_home_interior_pipeline/images/ce87f5a8288ab4cc.jpg","15","0.48","0","0.53","0.44","0","0.47","0.53","0","0.6"
"pexels_sg_home_interior_pipeline/images/5e88d17cae763c9a.jpg","15","0.61","0.22","0.5","0.56","0.67","0.67","0.67","0.13","0.4"
"pexels_sg_home_interior_pipeline/images/01432404c38aa134.jpg","15","0.69","0.7","0.71","0.71","1","0.63","0.67","0.53","0.8"
"pexels_sg_home_interior_pipeline/images/8f1af7c7bc130443.jpg","15","0.58","0.64","0.62","0.78","1","0.73","0.47","0.47","0.53"
"pexels_sg_home_interior_pipeline/images/670786e30af64469.jpg","12","0.8","0.4","0.7","1","1","0.73","0.67","0.25","0.67"
"pexels_sg_home_interior_pipeline/images/3a1ecac5bbd278f8.jpg","14","0.96","0.73","0.93","1","1","0.93","0.93","0.57","0.93"
"pexels_sg_home_interior_pipeline/images/47d3536b74ee33e8.jpg","12","0.7","0.27","0.4","0.88","0.67","0.38","0.58","0.17","0.42"
"pexels_sg_home_interior_pipeline/images/5e0e857e85254faf.jpg","12","0.67","0.59","0.6","1","1","0.75","0.5","0.42","0.5"
